open,high,low,close,volume,vwap,timestamp,transactions,otc
173.79,175.45,172.68,174.91,48527918.0,174.2297,2023-10-05 04:00:00,509175,
173.8,177.99,173.18,177.49,57266675.0,176.3366,2023-10-06 04:00:00,593944,
176.81,179.05,175.8,178.99,42344772.0,177.8683,2023-10-09 04:00:00,518256,
178.1,179.72,177.95,178.39,43698019.0,178.6901,2023-10-10 04:00:00,524939,
178.2,179.85,177.6,179.8,47544848.0,178.9503,2023-10-11 04:00:00,503477,
180.07,182.34,179.04,180.71,56743119.0,180.9482,2023-10-12 04:00:00,616891,
181.42,181.93,178.14,178.85,51412082.0,179.4154,2023-10-13 04:00:00,531441,
176.75,179.075,176.51,178.72,52516984.0,178.1478,2023-10-16 04:00:00,632605,
176.645,178.42,174.8,177.15,57549350.0,176.8623,2023-10-17 04:00:00,592323,
175.58,177.575,175.11,175.84,54764375.0,176.3501,2023-10-18 04:00:00,540187,
176.04,177.84,175.19,175.46,59192863.0,176.215,2023-10-19 04:00:00,560260,
175.31,175.42,172.64,172.88,64211828.0,173.7459,2023-10-20 04:00:00,600318,
170.91,174.01,169.93,173.0,55980109.0,172.3829,2023-10-23 04:00:00,639616,
173.05,173.67,171.45,173.44,43816644.0,172.7333,2023-10-24 04:00:00,530406,
171.88,173.06,170.65,171.1,57156962.0,171.4932,2023-10-25 04:00:00,610143,
170.37,171.3775,165.67,166.89,70625258.0,167.5944,2023-10-26 04:00:00,815217,
166.91,168.96,166.83,168.22,58257129.0,167.9072,2023-10-27 04:00:00,609511,
169.02,171.17,168.87,170.29,51239218.0,170.0788,2023-10-30 04:00:00,628258,
169.35,170.9,167.9,170.77,44846017.0,169.9252,2023-10-31 04:00:00,509879,
171.0,174.23,170.12,173.97,56934906.0,172.6187,2023-11-01 04:00:00,633476,
175.52,177.78,175.46,177.57,77292052.0,176.6794,2023-11-02 04:00:00,805046,
174.24,176.82,173.35,176.65,79829246.0,175.5751,2023-11-03 04:00:00,858038,
176.38,179.43,176.21,179.23,63841310.0,178.5589,2023-11-06 05:00:00,678103,
179.18,182.44,178.97,181.82,70529966.0,181.2627,2023-11-07 05:00:00,653779,
182.35,183.45,181.59,182.89,49340282.0,182.6566,2023-11-08 05:00:00,542421,
182.96,184.12,181.81,182.41,53631840.0,182.912,2023-11-09 05:00:00,545657,
183.97,186.565,183.53,186.4,66177922.0,185.4104,2023-11-10 05:00:00,610938,
185.82,186.03,184.21,184.8,43627519.0,184.8317,2023-11-13 05:00:00,530407,
187.7,188.11,186.3,187.44,60108378.0,187.2038,2023-11-14 05:00:00,609218,
187.845,189.5,187.78,188.01,53608999.0,188.4191,2023-11-15 05:00:00,564159,
189.57,190.96,188.65,189.71,54412915.0,189.7109,2023-11-16 05:00:00,620748,
190.25,190.38,188.57,189.69,50737404.0,189.6022,2023-11-17 05:00:00,510217,
189.89,191.905,189.88,191.45,46538614.0,191.2984,2023-11-20 05:00:00,554014,
191.41,191.52,189.74,190.64,38134485.0,190.51,2023-11-21 05:00:00,450749,
191.49,192.93,190.825,191.31,39630011.0,191.7223,2023-11-22 05:00:00,463560,
190.87,190.9,189.25,189.97,24018404.0,189.7899,2023-11-24 05:00:00,335946,
189.92,190.67,188.9,189.79,40456609.0,189.7974,2023-11-27 05:00:00,508895,
189.78,191.08,189.4,190.4,38415419.0,190.165,2023-11-28 05:00:00,458154,
190.9,192.09,188.97,189.37,43014224.0,189.9974,2023-11-29 05:00:00,493064,
189.84,190.32,188.19,189.95,48744366.0,189.337,2023-11-30 05:00:00,486786,
190.33,191.56,189.23,191.24,45676673.0,190.8613,2023-12-01 05:00:00,515537,
189.98,190.05,187.4511,189.43,43389519.0,188.916,2023-12-04 05:00:00,587461,
190.21,194.4,190.18,193.42,66628398.0,193.1715,2023-12-05 05:00:00,700669,
194.45,194.76,192.11,192.32,41055862.0,192.8014,2023-12-06 05:00:00,491436,
193.63,195.0,193.59,194.27,47413955.0,194.3967,2023-12-07 05:00:00,495048,
194.2,195.99,193.67,195.71,53383658.0,195.1638,2023-12-08 05:00:00,538968,
193.11,193.49,191.42,193.18,60943699.0,192.7089,2023-12-11 05:00:00,691172,
193.08,194.72,191.721,194.71,52696900.0,193.7834,2023-12-12 05:00:00,510768,
195.09,198.0,194.85,197.96,70404183.0,196.9085,2023-12-13 05:00:00,672552,
198.02,199.62,196.16,198.11,66831572.0,198.2872,2023-12-14 05:00:00,691862,
197.53,198.3999,197.0,197.57,127387901.0,197.56,2023-12-15 05:00:00,625452,
196.09,196.63,194.39,195.89,55751861.0,195.6255,2023-12-18 05:00:00,655763,
196.16,196.95,195.89,196.94,40714051.0,196.5277,2023-12-19 05:00:00,451709,
196.9,197.68,194.83,194.83,52242815.0,196.142,2023-12-20 05:00:00,550599,
196.1,197.08,193.5,194.68,46482549.0,194.7425,2023-12-21 05:00:00,554844,
195.18,195.41,192.97,193.6,37149570.0,194.1013,2023-12-22 05:00:00,500544,
193.61,193.89,192.83,193.05,28919310.0,193.1713,2023-12-26 05:00:00,488257,
192.49,193.5,191.09,193.15,48087681.0,192.5679,2023-12-27 05:00:00,548076,
194.14,194.66,193.17,193.58,34049898.0,193.9222,2023-12-28 05:00:00,472404,
193.9,194.4,191.725,192.53,42672148.0,192.5761,2023-12-29 05:00:00,509123,
187.15,188.44,183.885,185.64,81964874.0,185.9465,2024-01-02 05:00:00,1008871,
184.22,185.88,183.43,184.25,58414460.0,184.3226,2024-01-03 05:00:00,656853,
182.15,183.0872,180.88,181.91,71878670.0,182.0183,2024-01-04 05:00:00,712692,
